
"Course ID"|"Course External Course ID"|"Class ID"
"0000020972"|"FWD0002"|"001/2024(0000020972)"
"0000020972"|"FWD0002"|"002/2024(0000020972)"
"0000020992"|"FWD0003"|"002/2024(0000020992)"
"0000020992"|"FWD0003"|"001/2024(0000020992)"
"0000020993"|"FWD0004"|"002/2024(0000020993)"
"0000020993"|"FWD0004"|"001/2024(0000020993)"
"0000020994"|"FWD0005"|"001/2024(0000020994)"
"0000020994"|"FWD0005"|"003/2024(0000020994)"
"0000020994"|"FWD0005"|"002/2024(0000020994)"
"0000020995"|"FWD0006"|"002/2024(0000020995)"
"0000020995"|"FWD0006"|"001/2024(0000020995)"
"0000020995"|"FWD0006"|"003/2024(0000020995)"
"0000020996"|"FWD0007"|""
"0000021011"|"FWD0008"|"001/2024(0000021011)"
"0000021012"|"FWD0009"|"002/2024(0000021012)"
"0000021012"|"FWD0009"|"001/2024(0000021012)"
"0000021013"|"FWD0010"|"001/2024(0000021013)"
"FWD0001"|"FWD0001"|""
